"PUBLICATION","SCENARIO","CATEGORY","PRODUCT","FLOW","UNIT","REGION","YEAR","VALUE"
"World Energy Outlook 2025","Historical","Energy","Nuclear","Total energy supply","EJ","World",2010,30.091
"World Energy Outlook 2025","Historical","Energy","Nuclear","Total energy supply","EJ","World",2023,29.919
"World Energy Outlook 2025","Historical","Energy","Nuclear","Total energy supply","EJ","World",2024,31.018
"World Energy Outlook 2025","Current Policies Scenario","Energy","Nuclear","Total energy supply","EJ","World",2035,42.365
"World Energy Outlook 2025","Current Policies Scenario","Energy","Nuclear","Total energy supply","EJ","World",2040,48.908
"World Energy Outlook 2025","Current Policies Scenario","Energy","Nuclear","Total energy supply","EJ","World",2050,57.294
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Nuclear","Total energy supply","EJ","World",2035,42.861
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Nuclear","Total energy supply","EJ","World",2040,50.396
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Nuclear","Total energy supply","EJ","World",2050,60.928
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Nuclear","Total energy supply","EJ","World",2035,55.448
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Nuclear","Total energy supply","EJ","World",2040,69.057
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Nuclear","Total energy supply","EJ","World",2050,77.986
"World Energy Outlook 2025","Historical","Energy","Natural gas","Total energy supply","EJ","World",2010,114.606
"World Energy Outlook 2025","Historical","Energy","Natural gas","Total energy supply","EJ","World",2023,143.816
"World Energy Outlook 2025","Historical","Energy","Natural gas","Total energy supply","EJ","World",2024,147.661
"World Energy Outlook 2025","Current Policies Scenario","Energy","Natural gas","Total energy supply","EJ","World",2035,175.028
"World Energy Outlook 2025","Current Policies Scenario","Energy","Natural gas","Total energy supply","EJ","World",2040,181.937
"World Energy Outlook 2025","Current Policies Scenario","Energy","Natural gas","Total energy supply","EJ","World",2050,194.347
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Natural gas","Total energy supply","EJ","World",2035,165.489
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Natural gas","Total energy supply","EJ","World",2040,164.854
"World Energy Outlook 2025","Stated Policies Scenario","Energy","Natural gas","Total energy supply","EJ","World",2050,161.124
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Natural gas","Total energy supply","EJ","World",2035,91.14
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Natural gas","Total energy supply","EJ","World",2040,62.196
"World Energy Outlook 2025","Net Zero Emissions by 2050 Scenario","Energy","Natural gas","Total energy supply","EJ","World",2050,30.14
"World Energy Outlook 2025","Historical","Energy","Natural gas: unabated","Total energy supply","EJ","World",2010,108.807
"World Energy Outlook 2025","Historical","Energy","Natural gas: unabated","Total energy supply","EJ","World",2023,136.025
"World Energy Outlook 2025","Historical","Energy","Natural gas: unabated","Total energy supply","EJ","World",2024,139.43
"World Energy Outlook 2025","Current Policies Scenario","Energy","Natural gas: unabated","Total energy supply","EJ","World",2035,164.122
